step 5880, training accuracy 0
step 5890, training accuracy 0.01
step 5900, training accuracy 0.01
step 5910, training accuracy 0
step 5920, training accuracy 0
step 5930, training accuracy 0
step 5940, training accuracy 0
step 5950, training accuracy 0
step 5960, training accuracy 0
step 5970, training accuracy 0
step 5980, training accuracy 0
step 5990, training accuracy 0
step 6000, training accuracy 0
step 6010, training accuracy 0
step 6020, training accuracy 0
step 6030, training accuracy 0
step 6040, training accuracy 0
step 6050, training accuracy 0
step 6060, training accuracy 0
step 6070, training accuracy 0
step 6080, training accuracy 0
step 6090, training accuracy 0
step 6100, training accuracy 0
step 6110, training accuracy 0
step 6120, training accuracy 0
step 6130, training accuracy 0
step 6140, training accuracy 0.01
step 6150, training accuracy 0
step 6160, training accuracy 0
step 6170, training accuracy 0.01
step 6180, training accuracy 0
step 6190, training accuracy 0
step 6200, training accuracy 0
step 6210, training accuracy 0
step 6220, training accuracy 0
step 6230, training accuracy 0
step 6240, training accuracy 0
step 6250, training accuracy 0
step 6260, training accuracy 0
step 6270, training accuracy 0.01
step 6280, training accuracy 0
step 6290, training accuracy 0
step 6300, training accuracy 0
step 6310, training accuracy 0
step 6320, training accuracy 0
step 6330, training accuracy 0.01
step 6340, training accuracy 0.01
step 6350, training accuracy 0
step 6360, training accuracy 0
step 6370, training accuracy 0
step 6380, training accuracy 0
step 6390, training accuracy 0.01
step 6400, training accuracy 0
step 6410, training accuracy 0
step 6420, training accuracy 0
step 6430, training accuracy 0
step 6440, training accuracy 0
step 6450, training accuracy 0.01
step 6460, training accuracy 0
step 6470, training accuracy 0.01
step 6480, training accuracy 0
step 6490, training accuracy 0
step 6500, training accuracy 0.01
step 6510, training accuracy 0
step 6520, training accuracy 0
step 6530, training accuracy 0.01
step 6540, training accuracy 0
step 6550, training accuracy 0
step 6560, training accuracy 0
step 6570, training accuracy 0
step 6580, training accuracy 0
step 6590, training accuracy 0.01
step 6600, training accuracy 0.01
step 6610, training accuracy 0
step 6620, training accuracy 0
step 6630, training accuracy 0
step 6640, training accuracy 0
step 6650, training accuracy 0
step 6660, training accuracy 0
step 6670, training accuracy 0
step 6680, training accuracy 0
step 6690, training accuracy 0.01
step 6700, training accuracy 0
step 6710, training accuracy 0
step 6720, training accuracy 0
step 6730, training accuracy 0
step 6740, training accuracy 0
step 6750, training accuracy 0
step 6760, training accuracy 0
step 6770, training accuracy 0
step 6780, training accuracy 0
step 6790, training accuracy 0.01
step 6800, training accuracy 0.02
step 6810, training accuracy 0
step 6820, training accuracy 0
step 6830, training accuracy 0
step 6840, training accuracy 0
step 6850, training accuracy 0
step 6860, training accuracy 0
step 6870, training accuracy 0
step 6880, training accuracy 0
step 6890, training accuracy 0
step 6900, training accuracy 0.01
step 6910, training accuracy 0
step 6920, training accuracy 0
step 6930, training accuracy 0
step 6940, training accuracy 0
step 6950, training accuracy 0
step 6960, training accuracy 0
step 6970, training accuracy 0
step 6980, training accuracy 0.01
step 6990, training accuracy 0
step 7000, training accuracy 0.02
step 7010, training accuracy 0
step 7020, training accuracy 0
step 7030, training accuracy 0.01
step 7040, training accuracy 0
step 7050, training accuracy 0
step 7060, training accuracy 0
step 7070, training accuracy 0.01
step 7080, training accuracy 0.01
step 7090, training accuracy 0
step 7100, training accuracy 0.01
step 7110, training accuracy 0.01
step 7120, training accuracy 0
step 7130, training accuracy 0
step 7140, training accuracy 0
step 7150, training accuracy 0.01
step 7160, training accuracy 0
step 7170, training accuracy 0
step 7180, training accuracy 0
step 7190, training accuracy 0.01
step 7200, training accuracy 0
step 7210, training accuracy 0
step 7220, training accuracy 0.01
step 7230, training accuracy 0
step 7240, training accuracy 0
step 7250, training accuracy 0
step 7260, training accuracy 0.01
step 7270, training accuracy 0
step 7280, training accuracy 0
step 7290, training accuracy 0
step 7300, training accuracy 0.01
step 7310, training accuracy 0
step 7320, training accuracy 0
step 7330, training accuracy 0.02
step 7340, training accuracy 0
step 7350, training accuracy 0
step 7360, training accuracy 0
step 7370, training accuracy 0.01
step 7380, training accuracy 0.01
step 7390, training accuracy 0
step 7400, training accuracy 0
step 7410, training accuracy 0.01
step 7420, training accuracy 0
step 7430, training accuracy 0
step 7440, training accuracy 0
step 7450, training accuracy 0
step 7460, training accuracy 0
step 7470, training accuracy 0.01
step 7480, training accuracy 0
step 7490, training accuracy 0
step 7500, training accuracy 0
step 7510, training accuracy 0
step 7520, training accuracy 0.01
step 7530, training accuracy 0
step 7540, training accuracy 0
step 7550, training accuracy 0
step 7560, training accuracy 0
step 7570, training accuracy 0.01
step 7580, training accuracy 0
step 7590, training accuracy 0
step 7600, training accuracy 0
step 7610, training accuracy 0.01
step 7620, training accuracy 0
step 7630, training accuracy 0
step 7640, training accuracy 0
step 7650, training accuracy 0.01
step 7660, training accuracy 0
step 7670, training accuracy 0
step 7680, training accuracy 0.01
step 7690, training accuracy 0
step 7700, training accuracy 0
step 7710, training accuracy 0
step 7720, training accuracy 0
step 7730, training accuracy 0
step 7740, training accuracy 0
step 7750, training accuracy 0
step 7760, training accuracy 0.01
step 7770, training accuracy 0
step 7780, training accuracy 0
step 7790, training accuracy 0
step 7800, training accuracy 0
step 7810, training accuracy 0
step 7820, training accuracy 0.01
step 7830, training accuracy 0
step 7840, training accuracy 0.01
step 7850, training accuracy 0
step 7860, training accuracy 0
step 7870, training accuracy 0
step 7880, training accuracy 0
step 7890, training accuracy 0
step 7900, training accuracy 0.01
step 7910, training accuracy 0
step 7920, training accuracy 0.01
step 7930, training accuracy 0
step 7940, training accuracy 0
step 7950, training accuracy 0
step 7960, training accuracy 0
step 7970, training accuracy 0.01
step 7980, training accuracy 0
step 7990, training accuracy 0
step 8000, training accuracy 0
step 8010, training accuracy 0
step 8020, training accuracy 0.01
step 8030, training accuracy 0
step 8040, training accuracy 0
step 8050, training accuracy 0
step 8060, training accuracy 0.01
step 8070, training accuracy 0
step 8080, training accuracy 0
step 8090, training accuracy 0
step 8100, training accuracy 0
step 8110, training accuracy 0
step 8120, training accuracy 0
step 8130, training accuracy 0
step 8140, training accuracy 0
step 8150, training accuracy 0.01
step 8160, training accuracy 0
step 8170, training accuracy 0
step 8180, training accuracy 0
step 8190, training accuracy 0
step 8200, training accuracy 0
step 8210, training accuracy 0
step 8220, training accuracy 0
step 8230, training accuracy 0
step 8240, training accuracy 0.01
step 8250, training accuracy 0
step 8260, training accuracy 0
step 8270, training accuracy 0
step 8280, training accuracy 0
step 8290, training accuracy 0
step 8300, training accuracy 0.01
step 8310, training accuracy 0
step 8320, training accuracy 0
step 8330, training accuracy 0
step 8340, training accuracy 0.02
step 8350, training accuracy 0
step 8360, training accuracy 0
step 8370, training accuracy 0
step 8380, training accuracy 0
step 8390, training accuracy 0
step 8400, training accuracy 0
step 8410, training accuracy 0.01
step 8420, training accuracy 0
step 8430, training accuracy 0
step 8440, training accuracy 0
step 8450, training accuracy 0
step 8460, training accuracy 0
step 8470, training accuracy 0
step 8480, training accuracy 0
step 8490, training accuracy 0
step 8500, training accuracy 0
step 8510, training accuracy 0
step 8520, training accuracy 0
step 8530, training accuracy 0
step 8540, training accuracy 0
step 8550, training accuracy 0
step 8560, training accuracy 0
step 8570, training accuracy 0
step 8580, training accuracy 0
step 8590, training accuracy 0
step 8600, training accuracy 0.01
step 8610, training accuracy 0.01
step 8620, training accuracy 0
step 8630, training accuracy 0
step 8640, training accuracy 0.01
step 8650, training accuracy 0.01
step 8660, training accuracy 0
step 8670, training accuracy 0
step 8680, training accuracy 0
step 8690, training accuracy 0
step 8700, training accuracy 0.01
step 8710, training accuracy 0
step 8720, training accuracy 0
step 8730, training accuracy 0
step 8740, training accuracy 0.01
step 8750, training accuracy 0
step 8760, training accuracy 0
step 8770, training accuracy 0
step 8780, training accuracy 0
step 8790, training accuracy 0
step 8800, training accuracy 0
step 8810, training accuracy 0
step 8820, training accuracy 0
step 8830, training accuracy 0
step 8840, training accuracy 0.01
step 8850, training accuracy 0.01
step 8860, training accuracy 0
step 8870, training accuracy 0.01
step 8880, training accuracy 0
step 8890, training accuracy 0.01
step 8900, training accuracy 0
step 8910, training accuracy 0
step 8920, training accuracy 0.01
step 8930, training accuracy 0
step 8940, training accuracy 0
step 8950, training accuracy 0
step 8960, training accuracy 0
step 8970, training accuracy 0.01
step 8980, training accuracy 0
step 8990, training accuracy 0
step 9000, training accuracy 0
step 9010, training accuracy 0.01
step 9020, training accuracy 0
step 9030, training accuracy 0.02
step 9040, training accuracy 0
step 9050, training accuracy 0
step 9060, training accuracy 0.01
step 9070, training accuracy 0.01
step 9080, training accuracy 0
step 9090, training accuracy 0
step 9100, training accuracy 0
step 9110, training accuracy 0.02
step 9120, training accuracy 0
step 9130, training accuracy 0.01
step 9140, training accuracy 0.01
step 9150, training accuracy 0
step 9160, training accuracy 0
step 9170, training accuracy 0.01
step 9180, training accuracy 0.01
step 9190, training accuracy 0.01
step 9200, training accuracy 0
step 9210, training accuracy 0.01
step 9220, training accuracy 0
step 9230, training accuracy 0
step 9240, training accuracy 0
step 9250, training accuracy 0
step 9260, training accuracy 0.01
step 9270, training accuracy 0
step 9280, training accuracy 0
step 9290, training accuracy 0
step 9300, training accuracy 0
step 9310, training accuracy 0
step 9320, training accuracy 0.01
step 9330, training accuracy 0
step 9340, training accuracy 0
step 9350, training accuracy 0
step 9360, training accuracy 0
step 9370, training accuracy 0.01
step 9380, training accuracy 0.01
step 9390, training accuracy 0
step 9400, training accuracy 0.01
step 9410, training accuracy 0.01
step 9420, training accuracy 0
step 9430, training accuracy 0
step 9440, training accuracy 0
step 9450, training accuracy 0
step 9460, training accuracy 0
step 9470, training accuracy 0
step 9480, training accuracy 0
step 9490, training accuracy 0
step 9500, training accuracy 0
step 9510, training accuracy 0
step 9520, training accuracy 0
step 9530, training accuracy 0.01
step 9540, training accuracy 0
step 9550, training accuracy 0
step 9560, training accuracy 0
step 9570, training accuracy 0
step 9580, training accuracy 0
step 9590, training accuracy 0.01
step 9600, training accuracy 0
step 9610, training accuracy 0.02
step 9620, training accuracy 0
step 9630, training accuracy 0
step 9640, training accuracy 0
step 9650, training accuracy 0
step 9660, training accuracy 0
step 9670, training accuracy 0
step 9680, training accuracy 0
step 9690, training accuracy 0
step 9700, training accuracy 0
step 9710, training accuracy 0
step 9720, training accuracy 0
step 9730, training accuracy 0.01
step 9740, training accuracy 0.02
step 9750, training accuracy 0
step 9760, training accuracy 0
step 9770, training accuracy 0.02
step 9780, training accuracy 0
step 9790, training accuracy 0
step 9800, training accuracy 0
step 9810, training accuracy 0
step 9820, training accuracy 0.01
step 9830, training accuracy 0
step 9840, training accuracy 0
step 9850, training accuracy 0.02
step 9860, training accuracy 0.01
step 9870, training accuracy 0
step 9880, training accuracy 0
step 9890, training accuracy 0
step 9900, training accuracy 0.01
step 9910, training accuracy 0
step 9920, training accuracy 0.01
step 9930, training accuracy 0
step 9940, training accuracy 0
step 9950, training accuracy 0.01
step 9960, training accuracy 0
step 9970, training accuracy 0
step 9980, training accuracy 0
step 9990, training accuracy 0.01
step 10000, training accuracy 0
step 10010, training accuracy 0
step 10020, training accuracy 0.01
step 10030, training accuracy 0.01
step 10040, training accuracy 0
step 10050, training accuracy 0
step 10060, training accuracy 0
step 10070, training accuracy 0
step 10080, training accuracy 0.01
step 10090, training accuracy 0
step 10100, training accuracy 0.01
step 10110, training accuracy 0.01
step 10120, training accuracy 0.02
step 10130, training accuracy 0.01
step 10140, training accuracy 0
step 10150, training accuracy 0
step 10160, training accuracy 0.01
step 10170, training accuracy 0
step 10180, training accuracy 0
step 10190, training accuracy 0
step 10200, training accuracy 0.01
step 10210, training accuracy 0.01
step 10220, training accuracy 0
step 10230, training accuracy 0
step 10240, training accuracy 0
step 10250, training accuracy 0.01
step 10260, training accuracy 0
step 10270, training accuracy 0
step 10280, training accuracy 0.01
step 10290, training accuracy 0
step 10300, training accuracy 0
step 10310, training accuracy 0
step 10320, training accuracy 0
step 10330, training accuracy 0
step 10340, training accuracy 0.01
step 10350, training accuracy 0.02
step 10360, training accuracy 0.01
step 10370, training accuracy 0
step 10380, training accuracy 0
step 10390, training accuracy 0.01
step 10400, training accuracy 0
step 10410, training accuracy 0
step 10420, training accuracy 0
step 10430, training accuracy 0
step 10440, training accuracy 0
step 10450, training accuracy 0
step 10460, training accuracy 0
step 10470, training accuracy 0
step 10480, training accuracy 0
step 10490, training accuracy 0.01
step 10500, training accuracy 0
step 10510, training accuracy 0.02
step 10520, training accuracy 0.01
step 10530, training accuracy 0
step 10540, training accuracy 0.01
step 10550, training accuracy 0
step 10560, training accuracy 0.02
step 10570, training accuracy 0
step 10580, training accuracy 0
